year,gender,totalcount,count_ten,count_ninety,totalpop,pop_ten,pop_ninety,gen
1920,F,5766,5189,577,1198291,104028,1094263,decade
1920,F,5766,5189,577,1198291,104028,1094263,regular
1921,F,5871,5284,587,1233066,106007,1127059,regular
1922,F,5789,5210,579,1200991,105952,1095039,regular
1923,F,5739,5165,574,1206385,106170,1100215,regular
1924,F,5900,5310,590,1248900,108166,1140734,regular
1925,F,5771,5194,577,1217394,106891,1110503,regular
1926,F,5621,5059,562,1185398,105759,1079639,regular
1927,F,5602,5042,560,1192408,106494,1085914,regular
1928,F,5437,4893,544,1153292,104307,1048985,regular
1929,F,5276,4748,528,1116541,101814,1014727,regular
1930,F,5248,4723,525,1125951,102228,1023723,decade
1930,F,5248,4723,525,1125951,102228,1023723,regular
1931,F,4978,4480,498,1064686,98299,966387,regular
1932,F,5097,4587,510,1067115,98213,968902,regular
1933,F,4858,4372,486,1007880,96157,911723,regular
1934,F,4974,4477,497,1044177,96725,947452,regular
1935,F,4893,4404,489,1048541,97420,951121,regular
1936,F,4856,4370,486,1040353,97329,943024,regular
1937,F,4927,4434,493,1063974,99662,964312,regular
1938,F,4995,4495,500,1103408,101237,1002171,regular
1939,F,4951,4456,495,1096608,100394,996214,regular
1940,F,5025,4523,502,1143445,103032,1040413,decade
1940,F,5025,4523,502,1143445,103032,1040413,regular
1941,F,5085,4577,508,1208042,105788,1102254,regular
1942,F,5380,4842,538,1350657,112529,1238128,regular
1943,F,5368,4831,537,1395231,115974,1279257,regular
1944,F,5244,4720,524,1327177,112844,1214333,regular
1945,F,5241,4717,524,1307048,111542,1195506,regular
1946,F,5686,5117,569,1571259,123484,1447775,regular
1947,F,6103,5493,610,1772707,131173,1641534,regular
1948,F,6041,5437,604,1697824,129079,1568745,regular
1949,F,6067,5460,607,1710869,130379,1580490,regular
1950,F,6110,5499,611,1713070,131988,1581082,decade
1950,F,6110,5499,611,1713070,131988,1581082,regular
1951,F,6211,5590,621,1800867,135274,1665593,regular
1952,F,6389,5750,639,1854357,138020,1716337,regular
1953,F,6497,5847,650,1881331,140947,1740384,regular
1954,F,6622,5960,662,1942114,145146,1796968,regular
1955,F,6726,6053,673,1955030,147933,1807097,regular
1956,F,6886,6197,689,2007628,152606,1855022,regular
1957,F,7014,6313,701,2044598,155148,1889450,regular
1958,F,7024,6322,702,2011058,156032,1855026,regular
1959,F,7196,6476,720,2023031,157509,1865522,regular
1960,F,7331,6598,733,2022015,161713,1860302,decade
1960,F,7331,6598,733,2022015,161713,1860302,regular
1961,F,7528,6775,753,2017748,163826,1853922,regular
1962,F,7586,6827,759,1966591,161492,1805099,regular
1963,F,7664,6898,766,1927367,161062,1766305,regular
1964,F,7805,7025,780,1894819,162102,1732717,regular
1965,F,7533,6780,753,1765095,156697,1608398,regular
1966,F,7618,6856,762,1692010,155181,1536829,regular
1967,F,7850,7065,785,1650938,155577,1495361,regular
1968,F,8195,7375,820,1640266,157666,1482600,regular
1969,F,8709,7838,871,1686995,163927,1523068,regular
1970,F,9348,8413,935,1748140,171220,1576920,decade
1970,F,9348,8413,935,1748140,171220,1576920,regular
1971,F,9643,8679,964,1663643,171436,1492207,regular
1972,F,9663,8697,966,1521174,165011,1356163,regular
1973,F,9807,8826,981,1458204,166146,1292058,regular
1974,F,10243,9219,1024,1467435,168912,1298523,regular
1975,F,10611,9550,1061,1457848,172498,1285350,regular
1976,F,10904,9814,1090,1465129,172782,1292347,regular
1977,F,11326,10193,1133,1533158,182418,1350740,regular
1978,F,11472,10325,1147,1531848,183622,1348226,regular
1979,F,11969,10772,1197,1605311,190602,1414709,regular
1980,F,12161,10945,1216,1660338,194151,1466187,decade
1980,F,12161,10945,1216,1660338,194151,1466187,regular
1981,F,12190,10971,1219,1667939,194192,1473747,regular
1982,F,12330,11097,1233,1693266,193770,1499496,regular
1983,F,12068,10861,1207,1670535,189035,1481500,regular
1984,F,12175,10957,1218,1683618,191519,1492099,regular
1985,F,12502,11252,1250,1720634,198399,1522235,regular
1986,F,12830,11547,1283,1715317,199709,1515608,regular
1987,F,13259,11933,1326,1738411,204095,1534316,regular
1988,F,13878,12490,1388,1780508,212925,1567583,regular
1989,F,14547,13092,1455,1843408,222564,1620844,regular
1990,F,15232,13709,1523,1898230,232261,1665969,decade
1990,F,15232,13709,1523,1898230,232261,1665969,regular
1991,F,15466,13919,1547,1874788,234818,1639970,regular
1992,F,15610,14049,1561,1843647,237739,1605908,regular
1993,F,15797,14217,1580,1808774,236612,1572162,regular
1994,F,15752,14177,1575,1785440,238038,1547402,regular
1995,F,15752,14177,1575,1758292,236570,1521722,regular
1996,F,15891,14302,1589,1752703,239906,1512797,regular
1997,F,16160,14544,1616,1740409,243580,1496829,regular
1998,F,16599,14939,1660,1766593,252163,1514430,regular
1999,F,16943,15249,1694,1773421,258065,1515356,regular
2000,F,17657,15891,1766,1815467,269835,1545632,decade
2000,F,17657,15891,1766,1815467,269835,1545632,regular
2001,F,17974,16177,1797,1800016,274031,1525985,regular
2002,F,18082,16274,1808,1796206,278040,1518166,regular
2003,F,18434,16591,1843,1826432,286004,1540428,regular
2004,F,18828,16945,1883,1835366,293989,1541377,regular
2005,F,19185,17267,1918,1846825,297818,1549007,regular
2006,F,20054,18049,2005,1900092,311085,1589007,regular
2007,F,20569,18512,2057,1921385,318705,1602680,regular
2008,F,20466,18419,2047,1889483,319576,1569907,regular
2009,F,20186,18167,2019,1835518,317481,1518037,regular
2010,F,19820,17838,1982,1775857,312204,1463653,decade
2010,F,19820,17838,1982,1775857,312204,1463653,regular
2011,F,19569,17612,1957,1757183,309715,1447468,regular
2012,F,19515,17563,1952,1758838,311450,1447388,regular
2013,F,19252,17327,1925,1752158,307056,1445102,regular
2014,F,19207,17286,1921,1783445,307161,1476284,regular
2015,F,19099,17189,1910,1781725,307468,1474257,regular
2016,F,18847,16962,1885,1767902,307361,1460541,regular
2017,F,18400,16560,1840,1721550,304858,1416692,regular
2018,F,18100,16290,1810,1694640,302729,1391911,regular
2019,F,17905,16115,1790,1665373,301101,1364272,decade
2019,F,17905,16115,1790,1665373,301101,1364272,regular
1920,M,4989,4490,499,1064375,94846,969529,decade
1920,M,4989,4490,499,1064375,94846,969529,regular
1921,M,4986,4487,499,1101467,96803,1004664,regular
1922,M,4967,4470,497,1088188,96854,991334,regular
1923,M,4904,4414,490,1096136,95945,1000191,regular
1924,M,4971,4474,497,1132787,97542,1035245,regular
1925,M,4867,4380,487,1115935,94912,1021023,regular
1926,M,4837,4353,484,1110536,94285,1016251,regular
1927,M,4804,4324,480,1126943,96377,1030566,regular
1928,M,4722,4250,472,1107652,94653,1012999,regular
1929,M,4546,4091,455,1075606,92789,982817,regular
1930,M,4543,4089,454,1097399,93823,1003576,decade
1930,M,4543,4089,454,1097399,93823,1003576,regular
1931,M,4320,3888,432,1039574,90394,949180,regular
1932,M,4283,3855,428,1044134,91379,952755,regular
1933,M,4154,3739,415,991410,87956,903454,regular
1934,M,4206,3785,421,1032485,89519,942966,regular
1935,M,4145,3731,414,1041226,89455,951771,regular
1936,M,4037,3633,404,1037153,88075,949078,regular
1937,M,4019,3617,402,1066567,89905,976662,regular
1938,M,4036,3632,404,1109082,90576,1018506,regular
1939,M,3967,3570,397,1106758,89615,1017143,regular
1940,M,3936,3542,394,1159067,92994,1066073,decade
1940,M,3936,3542,394,1159067,92994,1066073,regular
1941,M,4001,3601,400,1228201,93291,1134910,regular
1942,M,4044,3640,404,1380978,99351,1281627,regular
1943,M,4040,3636,404,1427148,100930,1326218,regular
1944,M,3908,3517,391,1362788,96978,1265810,regular
1945,M,3784,3406,378,1345701,96443,1249258,regular
1946,M,4020,3618,402,1623907,103296,1520611,regular
1947,M,4268,3841,427,1829449,108745,1720704,regular
1948,M,4200,3780,420,1754555,106831,1647724,regular
1949,M,4203,3783,420,1773803,107660,1666143,regular
1950,M,4195,3775,420,1790441,107926,1682515,decade
1950,M,4195,3775,420,1790441,107926,1682515,regular
1951,M,4252,3827,425,1882875,110366,1772509,regular
1952,M,4256,3830,426,1943773,113213,1830560,regular
1953,M,4340,3906,434,1972427,114178,1858249,regular
1954,M,4359,3923,436,2039245,117481,1921764,regular
1955,M,4396,3956,440,2059116,118654,1940462,regular
1956,M,4453,4008,445,2114471,121538,1992933,regular
1957,M,4554,4099,455,2156486,122652,2033834,regular
1958,M,4502,4052,450,2120770,123437,1997333,regular
1959,M,4572,4115,457,2133240,124423,2008817,regular
1960,M,4594,4135,459,2132133,125696,2006437,decade
1960,M,4594,4135,459,2132133,125696,2006437,regular
1961,M,4652,4187,465,2122830,125103,1997727,regular
1962,M,4625,4163,462,2068664,123533,1945131,regular
1963,M,4621,4159,462,2031402,124032,1907370,regular
1964,M,4593,4134,459,1993019,124035,1868984,regular
1965,M,4420,3978,442,1860778,122428,1738350,regular
1966,M,4537,4083,454,1783661,117096,1666565,regular
