year,state,state_ID,gender,first,second,third,forth,fifth,sixth,seventh,eighth,nineth,tenth,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1920,HI,1,F,Mary,Helen,Dorothy,Alice,Margaret,Mildred,Florence,Frances,Elizabeth,Betty,102,76,72,68,61,49,48,44,42,41
1920,AK,2,F,Mary,Margaret,Helen,Ruth,Martha,Elizabeth,Virginia,Florence,Agnes,Dorothy,38,19,14,14,11,10,10,9,8,8
1920,WA,3,F,Mary,Dorothy,Margaret,Betty,Helen,Ruth,Virginia,Frances,Doris,Evelyn,544,440,346,341,319,251,215,192,177,170
1920,OR,4,F,Dorothy,Mary,Helen,Margaret,Betty,Ruth,Virginia,Marjorie,Frances,Jean,274,271,211,194,152,121,118,116,112,104
1920,CA,5,F,Mary,Dorothy,Margaret,Helen,Virginia,Betty,Ruth,Barbara,Frances,Evelyn,1554,1091,720,719,633,599,545,522,514,386
1920,ID,6,F,Mary,Dorothy,Helen,Ruth,Margaret,Betty,Marjorie,Virginia,Doris,Frances,209,168,161,126,108,99,71,70,63,63
1920,NV,7,F,Mary,Helen,Margaret,Marie,Dorothy,Frances,Virginia,Betty,Elizabeth,Ruth,28,26,17,14,13,13,12,11,9,9
1920,MT,8,F,Mary,Helen,Dorothy,Margaret,Ruth,Alice,Betty,Frances,Virginia,Florence,311,245,192,166,147,99,99,84,84,79
1920,WY,9,F,Mary,Helen,Dorothy,Margaret,Ruth,Frances,Betty,Virginia,Alice,Marjorie,112,79,71,61,56,44,41,36,34,28
1920,UT,10,F,Mary,Dorothy,Helen,Ruth,Marjorie,Margaret,Beth,Betty,Lois,Florence,222,161,156,153,110,107,79,76,75,72
1920,AZ,11,F,Mary,Maria,Helen,Dorothy,Frances,Ruth,Virginia,Margaret,Alice,Carmen,281,130,89,87,79,74,71,70,64,64
1920,CO,12,F,Mary,Dorothy,Helen,Margaret,Ruth,Betty,Virginia,Frances,Mildred,Evelyn,576,377,336,237,218,211,192,169,135,114
1920,NM,13,F,Mary,Maria,Margaret,Helen,Josephine,Frances,Lucy,Virginia,Alice,Dorothy,307,119,77,73,68,67,62,56,53,53
1920,ND,14,F,Helen,Mary,Dorothy,Margaret,Ruth,Evelyn,Irene,Esther,Alice,Gladys,233,230,209,208,196,162,133,131,118,112
1920,SD,15,F,Dorothy,Mary,Helen,Margaret,Ruth,Evelyn,Doris,Irene,Mildred,Frances,282,229,218,181,177,141,126,116,110,93
1920,NE,16,F,Dorothy,Mary,Helen,Ruth,Margaret,Betty,Doris,Mildred,Evelyn,Virginia,587,516,467,349,294,290,258,250,213,201
1920,KS,17,F,Mary,Dorothy,Helen,Betty,Ruth,Virginia,Margaret,Mildred,Evelyn,Frances,890,626,521,417,383,378,363,351,264,245
1920,OK,18,F,Mary,Dorothy,Helen,Mildred,Ruby,Ruth,Juanita,Betty,Margaret,Virginia,1313,700,577,524,477,469,402,370,369,350
1920,TX,19,F,Mary,Dorothy,Helen,Maria,Mildred,Frances,Margaret,Ruby,Ruth,Juanita,3192,1573,965,916,851,823,812,761,753,599
1920,MN,20,F,Dorothy,Mary,Helen,Margaret,Ruth,Lorraine,Evelyn,Irene,Mildred,Doris,889,825,795,651,545,444,442,365,360,357
1920,IA,21,F,Mary,Dorothy,Helen,Margaret,Ruth,Betty,Mildred,Virginia,Evelyn,Marjorie,1213,985,788,671,665,461,409,401,367,344
1920,MO,22,F,Mary,Dorothy,Helen,Ruth,Virginia,Mildred,Margaret,Frances,Betty,Marie,2022,1300,1054,791,763,695,622,438,424,399
1920,AR,23,F,Mary,Dorothy,Ruby,Helen,Mildred,Ruth,Hazel,Margaret,Marie,Thelma,1206,414,411,384,376,326,279,273,237,237
1920,LA,24,F,Mary,Dorothy,Helen,Mildred,Marie,Annie,Rita,Hazel,Lucille,Ruby,1301,497,388,363,343,290,283,264,264,255
1920,WI,25,F,Dorothy,Mary,Ruth,Helen,Margaret,Evelyn,Lorraine,Florence,Marie,Lucille,1119,920,758,745,631,465,457,397,375,373
1920,MI,26,F,Mary,Helen,Dorothy,Margaret,Ruth,Virginia,Betty,Doris,Irene,Evelyn,1809,1456,1382,1037,984,956,859,586,566,565
1920,IL,27,F,Mary,Dorothy,Helen,Margaret,Ruth,Virginia,Mildred,Betty,Evelyn,Frances,3472,2561,2332,1469,1466,1186,1094,939,911,871
1920,IN,28,F,Mary,Helen,Dorothy,Ruth,Betty,Margaret,Virginia,Mildred,Martha,Marjorie,2394,1055,958,764,760,742,574,521,460,435
1920,OH,29,F,Mary,Helen,Dorothy,Betty,Ruth,Margaret,Virginia,Mildred,Elizabeth,Evelyn,4232,2345,2321,1947,1942,1649,1136,956,857,794
1920,KY,30,F,Mary,Dorothy,Margaret,Helen,Virginia,Ruth,Mildred,Anna,Ruby,Elizabeth,2339,873,591,564,541,536,509,506,464,404
1920,TN,31,F,Mary,Dorothy,Margaret,Mildred,Ruby,Ruth,Helen,Frances,Virginia,Martha,2076,691,639,549,525,520,508,463,418,416
1920,MS,32,F,Mary,Annie,Willie,Dorothy,Ruby,Lillie,Mattie,Mildred,Ruth,Helen,1557,656,432,317,304,273,272,267,261,252
1920,AL,33,F,Mary,Annie,Margaret,Willie,Mildred,Ruby,Ruth,Dorothy,Louise,Helen,2360,965,511,510,478,467,467,460,427,387
1920,ME,34,F,Mary,Dorothy,Ruth,Margaret,Helen,Barbara,Frances,Phyllis,Elizabeth,Virginia,311,236,200,177,172,145,129,123,122,117
1920,VT,35,F,Mary,Dorothy,Ruth,Elizabeth,Helen,Margaret,Barbara,Marion,Mildred,Doris,132,94,90,71,71,70,68,58,55,48
1920,NH,36,F,Mary,Dorothy,Helen,Rita,Ruth,Barbara,Irene,Florence,Doris,Elizabeth,156,136,120,110,102,99,83,78,73,73
1920,NY,37,F,Mary,Helen,Dorothy,Margaret,Ruth,Anna,Rose,Frances,Florence,Elizabeth,5299,3608,3420,2717,2711,2125,2079,1774,1718,1585
1920,MA,38,F,Mary,Helen,Dorothy,Ruth,Margaret,Rita,Elizabeth,Eleanor,Alice,Barbara,2970,1515,1239,1060,1004,781,643,633,626,626
1920,CT,39,F,Mary,Helen,Dorothy,Margaret,Anna,Ruth,Elizabeth,Frances,Rose,Josephine,970,706,455,354,307,298,294,244,243,227
1920,RI,40,F,Mary,Dorothy,Helen,Margaret,Rita,Anna,Ruth,Alice,Doris,Elizabeth,452,206,180,151,149,141,129,123,105,102
1920,PA,41,F,Mary,Helen,Margaret,Dorothy,Anna,Ruth,Elizabeth,Betty,Mildred,Catherine,7650,4969,3667,3665,3187,2649,2296,1884,1562,1411
1920,NJ,42,F,Mary,Helen,Dorothy,Margaret,Ruth,Anna,Elizabeth,Marie,Rose,Florence,1885,1542,1179,1060,876,837,724,660,599,570
1920,DE,43,F,Mary,Dorothy,Margaret,Elizabeth,Helen,Anna,Mildred,Eleanor,Alice,Frances,165,106,81,77,76,54,53,45,44,42
1920,MD,44,F,Mary,Margaret,Dorothy,Helen,Ruth,Anna,Doris,Elizabeth,Mildred,Catherine,1208,642,583,488,446,346,345,330,326,313
1920,WV,45,F,Mary,Virginia,Helen,Margaret,Ruth,Dorothy,Mildred,Frances,Betty,Elizabeth,1379,633,597,438,395,352,349,256,253,253
1920,VA,46,F,Mary,Virginia,Margaret,Dorothy,Helen,Elizabeth,Ruth,Frances,Mildred,Louise,2046,849,825,792,636,602,586,528,495,486
1920,NC,47,F,Mary,Annie,Margaret,Ruth,Dorothy,Helen,Mildred,Virginia,Elizabeth,Ruby,2674,939,925,828,751,667,637,568,567,544
1920,SC,48,F,Mary,Annie,Margaret,Ruth,Louise,Helen,Dorothy,Frances,Elizabeth,Sarah,1615,687,510,503,458,435,431,416,409,344
1920,GA,49,F,Mary,Annie,Dorothy,Ruby,Willie,Louise,Margaret,Mildred,Frances,Elizabeth,2538,1048,769,667,623,616,601,594,590,523
1920,DC,50,F,Mary,Dorothy,Margaret,Helen,Ruth,Elizabeth,Mildred,Doris,Catherine,Evelyn,255,179,154,128,93,92,81,80,76,66
1920,FL,51,F,Mary,Dorothy,Margaret,Annie,Helen,Ruth,Mildred,Elizabeth,Frances,Willie,626,299,230,207,207,187,163,161,156,151
1930,HI,1,F,Mary,Helen,Betty,Alice,Margaret,Mildred,Dorothy,Nancy,Jane,Rose,122,96,88,79,74,71,63,60,58,57
1930,AK,2,F,Mary,Alice,Helen,Anna,Marie,Doris,Elizabeth,Martha,Esther,Agnes,35,14,11,10,10,8,8,8,7,6
1930,WA,3,F,Betty,Mary,Shirley,Barbara,Patricia,Dorothy,Donna,Dolores,Joan,Helen,408,401,316,313,302,228,212,182,173,172
1930,OR,4,F,Betty,Mary,Patricia,Barbara,Dorothy,Shirley,Donna,Dolores,Beverly,Margaret,272,268,196,186,174,154,127,101,92,88
1930,CA,5,F,Mary,Barbara,Betty,Patricia,Dorothy,Shirley,Joan,Dolores,Virginia,Beverly,1848,1412,1172,865,834,713,603,589,589,582
1930,ID,6,F,Betty,Mary,Barbara,Dorothy,Shirley,Donna,Joyce,Helen,Lois,Norma,199,125,123,98,93,91,76,62,58,58
1930,NV,7,F,Betty,Mary,Dorothy,Barbara,Beverly,Lois,Alice,Margaret,Joan,Dolores,32,25,15,14,12,12,11,11,10,9
