name,year,countM,pattern,gender,countF,totalcount
Nakia,1920,0,odd,unisex,0,0
Nakia,1921,0,odd,unisex,0,0
Nakia,1922,0,odd,unisex,0,0
Nakia,1923,0,odd,unisex,0,0
Nakia,1924,0,odd,unisex,0,0
Nakia,1925,0,odd,unisex,0,0
Nakia,1926,0,odd,unisex,0,0
Nakia,1927,0,odd,unisex,0,0
Nakia,1928,0,odd,unisex,0,0
Nakia,1929,0,odd,unisex,0,0
Nakia,1930,0,odd,unisex,0,0
Nakia,1931,0,odd,unisex,0,0
Nakia,1932,0,odd,unisex,0,0
Nakia,1933,0,odd,unisex,0,0
Nakia,1934,0,odd,unisex,0,0
Nakia,1935,0,odd,unisex,0,0
Nakia,1936,0,odd,unisex,0,0
Nakia,1937,0,odd,unisex,0,0
Nakia,1938,0,odd,unisex,0,0
Nakia,1939,0,odd,unisex,0,0
Nakia,1940,0,odd,unisex,0,0
Nakia,1941,0,odd,unisex,0,0
Nakia,1942,0,odd,unisex,0,0
Nakia,1943,0,odd,unisex,0,0
Nakia,1944,0,odd,unisex,0,0
Nakia,1945,0,odd,unisex,0,0
Nakia,1946,0,odd,unisex,0,0
Nakia,1947,0,odd,unisex,0,0
Nakia,1948,0,odd,unisex,0,0
Nakia,1949,0,odd,unisex,0,0
Nakia,1950,0,odd,unisex,0,0
Nakia,1951,0,odd,unisex,0,0
Nakia,1952,0,odd,unisex,0,0
Nakia,1953,0,odd,unisex,0,0
Nakia,1954,0,odd,unisex,0,0
Nakia,1955,0,odd,unisex,0,0
Nakia,1956,0,odd,unisex,0,0
Nakia,1957,0,odd,unisex,0,0
Nakia,1958,0,odd,unisex,0,0
Nakia,1959,0,odd,unisex,0,0
Nakia,1960,0,odd,unisex,0,0
Nakia,1961,0,odd,unisex,0,0
Nakia,1962,0,odd,unisex,0,0
Nakia,1963,0,odd,unisex,0,0
Nakia,1964,0,odd,unisex,0,0
Nakia,1965,0,odd,unisex,0,0
Nakia,1966,0,odd,unisex,0,0
Nakia,1967,0,odd,unisex,0,0
Nakia,1968,0,odd,unisex,0,0
Nakia,1969,0,odd,unisex,0,0
Nakia,1970,0,odd,unisex,0,0
Nakia,1971,0,odd,unisex,0,0
Nakia,1972,0,odd,unisex,0,0
Nakia,1973,0,odd,unisex,7,7
Nakia,1974,613,odd,unisex,1134,1747
Nakia,1975,514,odd,unisex,972,1486
Nakia,1976,110,odd,unisex,490,600
Nakia,1977,69,odd,unisex,364,433
Nakia,1978,46,odd,unisex,313,359
Nakia,1979,31,odd,unisex,270,301
Nakia,1980,19,odd,unisex,259,278
Nakia,1981,13,odd,unisex,254,267
Nakia,1982,15,odd,unisex,232,247
Nakia,1983,16,odd,unisex,218,234
Nakia,1984,15,odd,unisex,269,284
Nakia,1985,11,odd,unisex,279,290
Nakia,1986,8,odd,unisex,191,199
Nakia,1987,7,odd,unisex,188,195
Nakia,1988,0,odd,unisex,125,125
Nakia,1989,12,odd,unisex,143,155
Nakia,1990,11,odd,unisex,143,154
Nakia,1991,20,odd,unisex,154,174
Nakia,1992,22,odd,unisex,209,231
Nakia,1993,20,odd,unisex,201,221
Nakia,1994,36,odd,unisex,186,222
Nakia,1995,40,odd,unisex,159,199
Nakia,1996,34,odd,unisex,164,198
Nakia,1997,29,odd,unisex,181,210
Nakia,1998,32,odd,unisex,179,211
Nakia,1999,34,odd,unisex,166,200
Nakia,2000,29,odd,unisex,127,156
Nakia,2001,24,odd,unisex,136,160
Nakia,2002,19,odd,unisex,119,138
Nakia,2003,24,odd,unisex,93,117
Nakia,2004,21,odd,unisex,108,129
Nakia,2005,15,odd,unisex,86,101
Nakia,2006,15,odd,unisex,81,96
Nakia,2007,14,odd,unisex,62,76
Nakia,2008,11,odd,unisex,80,91
Nakia,2009,6,odd,unisex,49,55
Nakia,2010,5,odd,unisex,35,40
Nakia,2011,8,odd,unisex,41,49
Nakia,2012,7,odd,unisex,28,35
Nakia,2013,9,odd,unisex,26,35
Nakia,2014,0,odd,unisex,19,19
Nakia,2015,8,odd,unisex,15,23
Nakia,2016,0,odd,unisex,21,21
Nakia,2017,0,odd,unisex,7,7
Nakia,2018,0,odd,unisex,28,28
Nakia,2019,0,odd,unisex,29,29
Rowen,1920,0,regular,unisex,0,0
Rowen,1921,0,regular,unisex,0,0
Rowen,1922,0,regular,unisex,0,0
Rowen,1923,0,regular,unisex,0,0
Rowen,1924,0,regular,unisex,0,0
Rowen,1925,0,regular,unisex,0,0
Rowen,1926,0,regular,unisex,0,0
Rowen,1927,0,regular,unisex,0,0
Rowen,1928,0,regular,unisex,0,0
Rowen,1929,0,regular,unisex,0,0
Rowen,1930,0,regular,unisex,0,0
Rowen,1931,0,regular,unisex,0,0
Rowen,1932,0,regular,unisex,0,0
Rowen,1933,0,regular,unisex,0,0
Rowen,1934,0,regular,unisex,0,0
Rowen,1935,0,regular,unisex,0,0
Rowen,1936,0,regular,unisex,0,0
Rowen,1937,0,regular,unisex,0,0
Rowen,1938,0,regular,unisex,0,0
Rowen,1939,0,regular,unisex,0,0
Rowen,1940,0,regular,unisex,0,0
Rowen,1941,0,regular,unisex,0,0
Rowen,1942,0,regular,unisex,0,0
Rowen,1943,0,regular,unisex,0,0
Rowen,1944,5,regular,unisex,0,5
Rowen,1945,0,regular,unisex,0,0
Rowen,1946,0,regular,unisex,0,0
Rowen,1947,0,regular,unisex,0,0
Rowen,1948,0,regular,unisex,0,0
Rowen,1949,0,regular,unisex,0,0
Rowen,1950,0,regular,unisex,0,0
Rowen,1951,0,regular,unisex,0,0
Rowen,1952,0,regular,unisex,0,0
Rowen,1953,0,regular,unisex,0,0
Rowen,1954,0,regular,unisex,0,0
Rowen,1955,0,regular,unisex,0,0
Rowen,1956,0,regular,unisex,0,0
Rowen,1957,0,regular,unisex,0,0
Rowen,1958,0,regular,unisex,0,0
Rowen,1959,0,regular,unisex,0,0
Rowen,1960,0,regular,unisex,0,0
Rowen,1961,0,regular,unisex,0,0
Rowen,1962,0,regular,unisex,0,0
Rowen,1963,0,regular,unisex,0,0
Rowen,1964,0,regular,unisex,0,0
Rowen,1965,0,regular,unisex,0,0
Rowen,1966,0,regular,unisex,0,0
Rowen,1967,0,regular,unisex,0,0
Rowen,1968,0,regular,unisex,0,0
Rowen,1969,0,regular,unisex,0,0
Rowen,1970,0,regular,unisex,0,0
Rowen,1971,0,regular,unisex,0,0
Rowen,1972,0,regular,unisex,0,0
Rowen,1973,0,regular,unisex,0,0
Rowen,1974,0,regular,unisex,0,0
Rowen,1975,0,regular,unisex,0,0
Rowen,1976,0,regular,unisex,0,0
Rowen,1977,0,regular,unisex,0,0
Rowen,1978,0,regular,unisex,0,0
Rowen,1979,0,regular,unisex,0,0
Rowen,1980,0,regular,unisex,0,0
Rowen,1981,0,regular,unisex,0,0
Rowen,1982,0,regular,unisex,0,0
Rowen,1983,0,regular,unisex,0,0
Rowen,1984,0,regular,unisex,0,0
Rowen,1985,0,regular,unisex,0,0
Rowen,1986,0,regular,unisex,0,0
Rowen,1987,0,regular,unisex,0,0
Rowen,1988,0,regular,unisex,0,0
Rowen,1989,0,regular,unisex,0,0
Rowen,1990,5,regular,unisex,0,5
Rowen,1991,0,regular,unisex,0,0
Rowen,1992,5,regular,unisex,0,5
Rowen,1993,6,regular,unisex,0,6
Rowen,1994,5,regular,unisex,5,10
Rowen,1995,6,regular,unisex,15,21
Rowen,1996,8,regular,unisex,5,13
Rowen,1997,6,regular,unisex,10,16
Rowen,1998,11,regular,unisex,19,30
Rowen,1999,11,regular,unisex,8,19
Rowen,2000,19,regular,unisex,8,27
Rowen,2001,31,regular,unisex,9,40
Rowen,2002,32,regular,unisex,14,46
Rowen,2003,45,regular,unisex,12,57
Rowen,2004,71,regular,unisex,32,103
Rowen,2005,78,regular,unisex,22,100
Rowen,2006,106,regular,unisex,32,138
Rowen,2007,160,regular,unisex,64,224
Rowen,2008,133,regular,unisex,68,201
Rowen,2009,162,regular,unisex,51,213
