year,state,state_ID,gender,1st_name,2nd_name,3rd_name,4th_name,5th_name,6th_name,7th_name,8th_name,9th_name,10th_name,1st_count,2nd_count,3rd_count,4th_count,5th_count,6th_count,7th_count,8th_count,9th_count,10th_count
1920,HI,001,M,John,Robert,William,George,Joseph,James,Richard,David,Edward,Albert,88,74,74,71,69,63,59,46,46,45
1920,AK,002,M,John,William,Paul,George,James,Robert,Joseph,Thomas,Andrew,Henry,21,19,16,15,14,12,9,9,8,8
1920,WA,003,M,Robert,William,John,James,George,Donald,Charles,Jack,Richard,Harold,802,505,462,374,288,273,264,262,247,198
1920,OR,004,M,Robert,William,John,James,George,Charles,Donald,Richard,Jack,Harold,442,302,265,218,166,161,158,131,124,104
1920,CA,005,M,Robert,John,William,George,James,Charles,Frank,Richard,Jack,Edward,1821,1309,1211,899,834,662,631,555,544,460
1920,ID,006,M,Robert,William,John,James,George,Jack,Charles,Donald,Harold,Richard,231,210,181,179,122,97,89,87,81,70
1920,NV,007,M,Robert,William,John,James,Frank,George,Jack,Harold,Harry,Joe,40,30,27,23,16,16,12,11,10,10
1920,MT,008,M,Robert,John,William,James,Charles,George,Donald,Harold,Edward,Frank,322,308,290,211,149,142,130,96,86,80
1920,WY,009,M,Robert,John,William,James,Charles,George,Frank,Jack,Donald,Richard,115,110,101,69,61,53,37,36,35,34
1920,UT,010,M,Robert,William,John,James,George,Jack,Richard,Joseph,Charles,Donald,223,191,179,139,132,110,88,84,76,75
1920,AZ,011,M,John,Robert,Frank,William,Manuel,Jose,Joe,George,James,Charles,172,140,134,132,126,102,97,85,76,75
1920,CO,012,M,Robert,John,William,James,Charles,George,Harold,Frank,Edward,Richard,479,469,405,298,242,202,171,156,145,143
1920,NM,013,M,Jose,Joe,John,James,Manuel,Frank,William,Robert,Juan,George,161,153,152,109,99,97,93,80,79,72
1920,ND,014,M,John,Robert,William,James,George,Donald,Harold,Raymond,Arthur,Charles,299,263,171,167,165,147,140,129,115,111
1920,SD,015,M,Robert,John,Donald,William,Harold,James,Raymond,Kenneth,George,Charles,358,223,200,177,155,146,130,125,122,114
1920,NE,016,M,Robert,John,William,Donald,Harold,Charles,James,George,Richard,Kenneth,679,456,391,350,306,284,282,261,229,210
1920,KS,017,M,Robert,John,William,James,Charles,Harold,George,Donald,Richard,Raymond,735,651,623,492,488,367,361,334,287,282
1920,OK,018,M,James,William,John,Robert,Charles,Jack,George,Harold,Raymond,Roy,1149,930,900,728,566,462,441,310,302,302
